Country,Year,GDP (USD),GDP per Capita (USD),Inflation (CPI),Unemployment Rate (%)
Czech Republic,1990,41016881802.4843,3969.36733543794,,
Czech Republic,1991,30071014282.3218,2917.08655474323,,2.27
Czech Republic,1992,35051065440.3962,3396.70972430469,11.086500072223,2.6
Czech Republic,1993,41155654032.1751,3984.1463439879,20.8130295438428,4.349
Czech Republic,1994,48188478339.4129,4663.28665345469,10.039429835143,4.284
Czech Republic,1995,60572381311.2283,5865.29460556726,8.99052361478445,4.082
Czech Republic,1996,67804105329.8557,6573.19643136362,8.75877472878111,3.852
Czech Republic,1997,62539765163.1302,6069.38762357837,8.59615666715563,4.674
Czech Republic,1998,67187217327.7326,6526.59635780951,10.6983655274889,6.455
Czech Republic,1999,65586562604.8621,6377.6211077224,2.13544844417331,8.702
Czech Republic,2000,62175642238.0847,6062.92152842793,3.77538829151734,8.764
Czech Republic,2001,68135304463.9641,6669.07494847497,4.66267556988253,8.128
Czech Republic,2002,82607869609.574,8101.26018588111,1.90298097019032,7.28
Czech Republic,2003,100435924704.881,9852.45677945801,0.118739205526791,7.777
Czech Republic,2004,120147899983.657,11782.5546676117,2.76010781671157,8.298
Czech Republic,2005,137264185596.1,13442.4916284309,1.8570978910922,7.927
Czech Republic,2006,156236258386.589,15259.0788162004,2.53399258343635,7.141
Czech Republic,2007,190040702286.917,18452.6532812196,2.85312437211175,5.316
Czech Republic,2008,236506264753.95,22774.7045076205,6.35866380152373,4.392
Czech Republic,2009,206971882704.716,19817.4215836554,1.01937735329232,6.662
Czech Republic,2010,211168667286.27,20160.4355077059,1.47272727272722,7.281
Czech Republic,2011,231429378717.312,22049.1080788682,1.9172191363555,6.712
Czech Republic,2012,210363223087.728,20014.0354015165,3.28762306610411,6.979
Czech Republic,2013,213024360541.119,20260.4954999375,1.4382978723404,6.953
Czech Republic,2014,210911285077.683,20038.4163180257,0.343988589646794,6.108
Czech Republic,2015,189107698561.919,17931.5987670768,0.309364548494975,5.048
Czech Republic,2016,198160659303.939,18753.9686718096,0.683504209385703,3.952
Czech Republic,2017,221563575696.217,20913.197632212,2.4505339846014,2.893
Czech Republic,2018,251992360762.236,23705.9329811299,2.14949494949493,2.246
Czech Republic,2019,256794209028.77,24062.7190013343,2.8478759591805,2.015
Czech Republic,2020,251109660602.536,23472.8915454417,3.16129528497801,2.55
Czech Republic,2021,290972714482.313,27696.4619527544,3.83984491500146,2.803
Czech Republic,2022,301831228325.556,28282.2236715857,15.1001651468371,2.224
Czech Republic,2023,343207874553.734,31591.1770732969,10.6612601372426,2.579
Hungary,1968,4870283626.18043,474.880214413036,,
Hungary,1969,5412100260.1731,525.511780457936,,
Hungary,1970,5762071728.12373,557.372982365269,,
Hungary,1971,6271045034.4683,604.873176191056,,
Hungary,1972,7355242314.22407,707.33760589871,,
Hungary,1973,9108483160.5037,873.124533996772,3.38797814176702,
Hungary,1974,9983664739.3203,952.756132363523,1.79704016823474,
Hungary,1975,11383139029.4345,1079.94042321749,3.84215991793819,
Hungary,1976,13192437321.2442,1244.72491436848,5.2283983330866,
Hungary,1977,14735449496.7289,1383.86613419222,3.90889569564822,
Hungary,1978,17230354544.8242,1612.60099090319,4.68714274853112,
Hungary,1979,19894622393.194,1858.58930190771,8.97641234700303,
Hungary,1980,23041569234.9792,2151.1816628528,9.28585743921337,
Hungary,1981,23628554956.6052,2205.83366722579,4.66141394394755,
Hungary,1982,24062916721.3121,2247.70800537405,6.8358050825954,
Hungary,1983,21838893330.6052,2043.02997546324,7.27989573279491,
Hungary,1984,21173432184.8711,1984.74349777267,8.46785487646018,
Hungary,1985,21440475719.8582,2013.43352195314,6.94234501879147,
Hungary,1986,24697337084.1012,2323.23864322732,5.29166170071091,
Hungary,1987,27143185296.5443,2557.60366681372,8.67431417733243,
Hungary,1988,29702631093.8815,2803.06398657229,15.7235490703556,
Hungary,1989,30323270274.4059,2892.96729614731,17.149151997396,
Hungary,1990,34365891768.6878,3312.69823800526,28.3695996532777,
Hungary,1991,34753569692.915,3350.25832349229,34.8175429072704,8.5
Hungary,1992,38730585922.2189,3735.10582034276,23.6557207806552,9.942
Hungary,1993,40124916940.5945,3873.98772279767,22.4642346133809,12.098
Hungary,1994,43166678735.2183,4173.37302405441,18.8680749869283,10.847
Hungary,1995,46425677734.1435,4494.70762405948,28.3054683706654,10.168
Hungary,1996,46658755151.6017,4525.03910312241,23.4690301919185,10.022
Hungary,1997,47296952928.7561,4596.18262235195,18.3050744143799,8.991
Hungary,1998,48706787306.2574,4744.21226429639,14.153789654534,8.925
Hungary,1999,49073380173.7159,4793.47852203763,9.99774409303368,6.929
Hungary,2000,47218405892.4258,4624.28165670295,9.80361016908125,6.563
Hungary,2001,53749989092.0197,5276.03318905496,9.11680911680911,5.671
Hungary,2002,67608919144.3684,6655.33300865319,5.26544821583985,5.608
Hungary,2003,85285062818.0077,8419.43087098103,4.66101694915254,5.79
Hungary,2004,104120820258.669,10301.7033946743,6.74434679569469,5.832
Hungary,2005,113211158292.936,11223.3993032598,3.56151711378352,7.189
Hungary,2006,115715618613.052,11489.5608654088,3.93032603841001,7.494
Hungary,2007,140186716681.425,13940.9092761999,7.9587451654491,7.406
Hungary,2008,158325614580.628,15772.3300839383,6.0425125388106,7.817
Hungary,2009,131069255620.567,13077.305465178,4.21171171171171,10.03
Hungary,2010,132175349953.713,13217.5045951108,4.85555795691956,11.172
Hungary,2011,141942264554.475,14234.471576937,3.9299209893507,11.029
Hungary,2012,128814279315.132,12984.8365730133,5.65214517088646,11.003
Hungary,2013,135684315697.713,13715.0703590361,1.73319984983101,10.177
Hungary,2014,141033843265.669,14294.2584180751,-0.227566270988219,7.725
Hungary,2015,125174166987.372,12717.038597002,-0.0616446800641672,6.813
Hungary,2016,128609822750.039,13104.6995457458,0.394769306686392,5.115
Hungary,2017,143112196040.326,14621.2395956755,2.34824281150154,4.156
Hungary,2018,160565642983.587,16425.2050299693,2.85024792594646,3.708
Hungary,2019,164020460331.659,16786.2136399075,3.33858635382008,3.419
Hungary,2020,157288955508.176,16131.9540355923,3.32674385766738,4.25
Hungary,2021,182109999477.691,18755.1023464312,5.11096534382855,4.045
Hungary,2022,177006128624.627,18353.298364905,14.6081439492433,3.609
Hungary,2023,212388906458.724,22141.8669799276,17.1249659678737,4.107
Poland,1971,,,1.09999999900012,
Poland,1972,,,-0.0989119673600758,
Poland,1973,,,2.47524752475231,
Poland,1974,,,7.05314009565229,
Poland,1975,,,2.2563176895509,
Poland,1976,,,4.41306266552893,
Poland,1977,,,4.90278951821559,
Poland,1978,,,8.10126582278465,
Poland,1979,,,7.02576112412187,
Poland,1980,,,9.68271334792129,
Poland,1981,,,19.1271820448877,
Poland,1982,,,103.55871886121,
Poland,1983,,,25.534759358289,
Poland,1984,,,15.4009994265582,
Poland,1985,,,11.5212607368495,
Poland,1986,,,16.5499681731383,
Poland,1987,,,26.3790278536323,
Poland,1988,,,58.7208297320654,
Poland,1989,,,244.550932984827,
Poland,1990,65977748210.5263,1731.2095094382,567.878800666191,
Poland,1991,85500935934.9901,2235.54108862522,76.7694992087347,13.611
Poland,1992,94337050693.2727,2459.02068468253,46.0985621037431,13.645
Poland,1993,96043157272.862,2497.13055936127,36.9641666120718,14.393
Poland,1994,110803635287.621,2874.83163555069,32.9912766093522,14.825
Poland,1995,142838527115.448,3700.95956775144,27.951388563304,13.695
Poland,1996,160813026223.063,4163.51195431959,19.7949669196707,12.684
Poland,1997,159893964916.817,4137.00831823145,14.9131586149599,10.964
Poland,1998,175282269666.801,4533.5356551781,11.5978554257235,9.935
Poland,1999,170704452714.673,4415.50067547826,7.15407291179862,12.29
Poland,2000,172953527033.013,4520.64100449111,9.90017538843064,14.928
Poland,2001,191823200371.284,5015.23790036613,5.40833545566148,18.435
Poland,2002,199694463255.567,5223.45178967082,1.90528215048055,20.211
Poland,2003,218561225998.47,5720.81366178104,0.682701375787681,19.899
Poland,2004,256268656145.134,6711.72715262967,3.38264681884691,18.822
Poland,2005,306999913150.525,8043.92332253757,2.18379872390258,17.592
Poland,2006,345897630736.173,9068.85528307627,1.28469394366408,13.794
Poland,2007,429715132137.503,11272.5293683383,2.45874312385402,9.551
Poland,2008,535612030671.888,14048.5604672654,4.16497193524764,7.069
Poland,2009,440891472247.096,11556.3026866026,3.79539242483406,8.131
Poland,2010,478111630683.514,12567.7317676382,2.58069370250543,9.578
Poland,2011,527848543023.469,13867.6669408192,4.2394014962594,9.576
Poland,2012,498148649702.66,13087.420943321,3.56037151702783,10.031
Poland,2013,518179836405.36,13621.9023794031,0.991982606332428,10.293
Poland,2014,542134167178.627,14262.2841914116,0.0538213132399802,8.971
Poland,2015,480054118583.367,12637.5220324406,-0.87412587412577,7.475
Poland,2016,473259583969.643,12464.0110508476,-0.664767331433961,6.141
Poland,2017,528356676667.211,13913.3402919927,2.0759355367385,4.867
Poland,2018,594616687350.017,15658.2120316794,1.81295156542679,3.835
Poland,2019,602683770144.88,15874.5220531254,2.227478809383,3.267
Poland,2020,605914237903.742,15987.5753654045,3.37446972618589,3.155
Poland,2021,689170230665.35,18635.5104895754,5.05502704719272,3.268
Poland,2022,695607470875.276,18891.2121169279,14.4294507575758,2.811
Poland,2023,809200697797.088,22056.6661704127,11.5289127961105,2.743
Slovakia,1990,12915046978.1615,2437.17517010845,,
Slovakia,1991,14459924588.948,2726.59305498582,,12.166
Slovakia,1992,15699327209.2121,2959.33644860111,9.89350519771167,12.192
Slovakia,1993,16737973764.3476,3143.10143068756,23.287027664545,12.2
Slovakia,1994,20428139755.6056,3820.96427542658,13.4155203422246,13.654
Slovakia,1995,26180022222.2222,4882.51158238228,9.84109579837748,13.109
Slovakia,1996,28197790874.5247,5247.70081044708,5.77582786155949,11.341
Slovakia,1997,27844628979.2682,5172.41757491248,6.14198999595652,11.894
Slovakia,1998,29976207629.4888,5560.916177503,6.66565123195824,12.421
Slovakia,1999,30496272225.1337,5651.62327514236,10.5704416075225,16.099
Slovakia,2000,29215726004.7765,5421.6448441887,12.0357805974299,18.546
Slovakia,2001,30726659550.9717,5712.47802761654,7.3296201911553,19.148
Slovakia,2002,35243658398.7546,6554.62808369461,3.12714222984608,18.541
Slovakia,2003,46616149116.7411,8675.39633696465,8.55414305406645,17.549
Slovakia,2004,57215475076.2986,10650.1290097126,7.54850088183423,18.206
Slovakia,2005,62547753148.4638,11641.5410321763,2.70908494588384,16.276
Slovakia,2006,70751813442.9881,13167.8954730379,4.48333120449611,13.395
Slovakia,2007,86587749517.9724,16110.4817265237,2.7567237163814,11.16
Slovakia,2008,100830060552.902,18744.3192278346,4.59817976325028,9.514
Slovakia,2009,89342984697.5246,16586.7527805228,1.61510464058238,12.023
Slovakia,2010,91112160800.7668,16899.448680529,0.957018132975143,14.387
Slovakia,2011,99705104723.4341,18469.4354316836,3.9192859914629,13.634
Slovakia,2012,94724394278.052,17516.9691054078,3.6061026352289,13.966
Slovakia,2013,99134277850.3418,18312.7805149823,1.40047368963025,14.226
Slovakia,2014,101713075598.862,18770.9289896545,-0.0761653295419871,11.536
Slovakia,2015,89178548717.3324,16442.0760860018,-0.325219777427673,11.492
Slovakia,2016,90347173228.6356,16636.0769133073,-0.520010196278266,9.679
Slovakia,2017,95978130734.9766,17645.5298716761,1.31194588223228,8.142
Slovakia,2018,106611673364.837,19573.3717031314,2.51403712883812,6.544
Slovakia,2019,105843498304.094,19406.0589683582,2.66456133425431,5.761
Slovakia,2020,107732602896.441,19735.4858280801,1.93694126694223,6.719
Slovakia,2021,120592216208.386,22138.1949833348,3.14960629921268,6.894
Slovakia,2022,115928615553.286,21342.7666714692,12.7741463637611,6.143
Slovakia,2023,132908336234.295,24491.3771867262,10.5319476645211,5.84
